Title,Year,Director,Stars,Duration,Trailer_Duration,Genre,Rating,Movie_url
Harry Potter and the Deathly Hallows: Part 2 ,2011,David Yates,"Daniel Radcliffe,Emma Watson,Rupert Grint",2h 10min,2:33,Adventure,8.1 / 10,https://www.imdb.com/title/tt1201607/
Gran Torino ,2008,Clint Eastwood,"Clint Eastwood,Bee Vang,Christopher Carley",1h 56min,4:31,Drama,8.1 / 10,https://www.imdb.com/title/tt1205489/
Mary and Max ,2009,Adam Elliot,"Toni Collette,Philip Seymour Hoffman,Eric Bana",1h 32min,2:31,Animation,8.1 / 10,https://www.imdb.com/title/tt0978762/
Mr. Smith Goes to Washington ,1939,Frank Capra,"James Stewart,Jean Arthur,Claude Rains",2h 9min,1:37,Comedy,8.1 / 10,https://www.imdb.com/title/tt0031679/
The Help ,2011,Tate Taylor,"Emma Stone,Viola Davis,Octavia Spencer",2h 26min,2:30,Drama,8.0 / 10,https://www.imdb.com/title/tt1454029/
Rebecca ,1940,Alfred Hitchcock,"Laurence Olivier,Joan Fontaine,George Sanders",2h 10min,0:21,Drama,8.1 / 10,https://www.imdb.com/title/tt0032976/
The General ,1926,Clyde Bruckman,"Buster Keaton,Marion Mack,Glen Cavender",1h 7min,1:03,Action,8.1 / 10,https://www.imdb.com/title/tt0017925/
Before Sunset ,2004,Richard Linklater,"Ethan Hawke,Julie Delpy,Vernon Dobtcheff",1h 20min,2:14,Drama,8.0 / 10,https://www.imdb.com/title/tt0381681/
Gone with the Wind ,1939,Victor Fleming,"Clark Gable,Vivien Leigh,Thomas Mitchell",3h 58min,1:56,Drama,8.1 / 10,https://www.imdb.com/title/tt0031381/
Throne of Blood ,1957,Akira Kurosawa,"Toshirô Mifune,Minoru Chiaki,Isuzu Yamada",1h 50min,,Drama,8.1 / 10,https://www.imdb.com/title/tt0050613/
On the Waterfront ,1954,Elia Kazan,"Marlon Brando,Karl Malden,Lee J. Cobb",1h 48min,1:36,Crime,8.1 / 10,https://www.imdb.com/title/tt0047296/
The Battle of Algiers ,1966,Gillo Pontecorvo,"Brahim Hadjadj,Jean Martin,Yacef Saadi",2h 1min,2:01,Drama,8.1 / 10,https://www.imdb.com/title/tt0058946/
Ben-Hur ,1959,William Wyler,"Charlton Heston,Jack Hawkins,Stephen Boyd",3h 32min,3:00,Adventure,8.1 / 10,https://www.imdb.com/title/tt0052618/
The Passion of Joan of Arc ,1928,Carl Theodor Dreyer,"Maria Falconetti,Eugene Silvain,André Berley",1h 54min,1:03,Biography,8.1 / 10,https://www.imdb.com/title/tt0019254/
The Bridge on the River Kwai ,1957,David Lean,"William Holden,Alec Guinness,Jack Hawkins",2h 41min,3:07,Adventure,8.1 / 10,https://www.imdb.com/title/tt0050212/
Andrei Rublev ,1966,Andrei Tarkovsky,"Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko",3h 25min,,Biography,8.1 / 10,https://www.imdb.com/title/tt0060107/
Cool Hand Luke ,1967,Stuart Rosenberg,"Paul Newman,George Kennedy,Strother Martin",2h 7min,2:48,Crime,8.1 / 10,https://www.imdb.com/title/tt0061512/
The Wages of Fear ,1953,Henri-Georges Clouzot,"Yves Montand,Charles Vanel,Peter van Eyck",2h 11min,2:42,Adventure,8.1 / 10,https://www.imdb.com/title/tt0046268/
The 400 Blows ,1959,François Truffaut,"Jean-Pierre Léaud,Albert Rémy,Claire Maurier",1h 39min,1:06,Crime,8.1 / 10,https://www.imdb.com/title/tt0053198/
Persona ,1966,Ingmar Bergman,"Bibi Andersson,Liv Ullmann,Margaretha Krook",1h 23min,5:01,Drama,8.1 / 10,https://www.imdb.com/title/tt0060827/
The Deer Hunter ,1978,Michael Cimino,"Robert De Niro,Christopher Walken,John Cazale",3h 3min,2:45,Drama,8.1 / 10,https://www.imdb.com/title/tt0077416/
The Elephant Man ,1980,David Lynch,"Anthony Hopkins,John Hurt,Anne Bancroft",2h 4min,1:01,Biography,8.1 / 10,https://www.imdb.com/title/tt0080678/
Rocky ,1976,John G. Avildsen,"Sylvester Stallone,Talia Shire,Burt Young",2h,0:34,Drama,8.1 / 10,https://www.imdb.com/title/tt0075148/
Barry Lyndon ,1975,Stanley Kubrick,"Ryan O'Neal,Marisa Berenson,Patrick Magee",3h 5min,2:08,Adventure,8.1 / 10,https://www.imdb.com/title/tt0072684/
Dead Poets Society ,1989,Peter Weir,"Robin Williams,Robert Sean Leonard,Ethan Hawke",2h 8min,3:06,Comedy,8.1 / 10,https://www.imdb.com/title/tt0097165/
"Paris, Texas ",1984,Wim Wenders,"Harry Dean Stanton,Nastassja Kinski,Dean Stockwell",2h 25min,2:18,Drama,8.1 / 10,https://www.imdb.com/title/tt0087884/
Stand by Me ,1986,Rob Reiner,"Wil Wheaton,River Phoenix,Corey Feldman",1h 29min,1:15,Adventure,8.1 / 10,https://www.imdb.com/title/tt0092005/
Network ,1976,Sidney Lumet,"Faye Dunaway,William Holden,Peter Finch",2h 1min,2:59,Drama,8.1 / 10,https://www.imdb.com/title/tt0074958/
Platoon ,1986,Oliver Stone,"Charlie Sheen,Tom Berenger,Willem Dafoe",2h,0:31,Drama,8.1 / 10,https://www.imdb.com/title/tt0091763/
Before Sunrise ,1995,Richard Linklater,"Ethan Hawke,Julie Delpy,Andrea Eckert",1h 41min,1:46,Drama,8.1 / 10,https://www.imdb.com/title/tt0112471/
In the Name of the Father ,1993,Jim Sheridan,"Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie",2h 13min,,Biography,8.1 / 10,https://www.imdb.com/title/tt0107207/
Fargo ,1996,Joel Coen,"William H. Macy,Frances McDormand,Steve Buscemi",1h 38min,0:32,Crime,8.1 / 10,https://www.imdb.com/title/tt0116282/
La Haine ,1995,Mathieu Kassovitz,"Vincent Cassel,Hubert Koundé,Saïd Taghmaoui",1h 38min,3:34,Crime,8.1 / 10,https://www.imdb.com/title/tt0113247/
In the Mood for Love ,2000,Kar-Wai Wong,"Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu",1h 38min,1:23,Drama,8.1 / 10,https://www.imdb.com/title/tt0118694/
Trainspotting ,1996,Danny Boyle,"Ewan McGregor,Ewen Bremner,Jonny Lee Miller",1h 33min,1:55,Drama,8.1 / 10,https://www.imdb.com/title/tt0117951/
Hacksaw Ridge ,2016,Mel Gibson,"Andrew Garfield,Sam Worthington,Luke Bracey",2h 19min,2:26,Biography,8.1 / 10,https://www.imdb.com/title/tt2119532/
Gone Girl ,2014,David Fincher,"Ben Affleck,Rosamund Pike,Neil Patrick Harris",2h 29min,0:59,Drama,8.1 / 10,https://www.imdb.com/title/tt2267998/
The Truman Show ,1998,Peter Weir,"Jim Carrey,Ed Harris,Laura Linney",1h 43min,2:32,Comedy,8.1 / 10,https://www.imdb.com/title/tt0120382/
Rush ,2013,Ron Howard,"Daniel Brühl,Chris Hemsworth,Olivia Wilde",2h 3min,2:34,Action,8.1 / 10,https://www.imdb.com/title/tt1979320/
Inside Out ,2015,Pete Docter,"Amy Poehler,Bill Hader,Lewis Black",1h 35min,0:32,Animation,8.1 / 10,https://www.imdb.com/title/tt2096673/
Ford v Ferrari ,2019,James Mangold,"Matt Damon,Christian Bale,Jon Bernthal",2h 32min,2:29,Action,8.1 / 10,https://www.imdb.com/title/tt1950186/
Spotlight ,2015,Tom McCarthy,"Mark Ruffalo,Michael Keaton,Rachel McAdams",2h 9min,1:02,Biography,8.1 / 10,https://www.imdb.com/title/tt1895587/
Wild Tales ,2014,Damián Szifron,"Darío Grandinetti,María Marull,Mónica Villa",2h 2min,2:03,Comedy,8.1 / 10,https://www.imdb.com/title/tt3011894/
Room ,2015,Lenny Abrahamson,"Brie Larson,Jacob Tremblay,Sean Bridgers",1h 58min,1:30,Drama,8.1 / 10,https://www.imdb.com/title/tt3170832/
12 Years a Slave ,2013,Steve McQueen,"Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender",2h 14min,2:26,Biography,8.1 / 10,https://www.imdb.com/title/tt2024544/
The Invisible Guest ,2016,Oriol Paulo,"Mario Casas,Ana Wagener,Jose Coronado",1h 46min,1:45,Crime,8.1 / 10,https://www.imdb.com/title/tt4857264/
Portrait of a Lady on Fire ,2019,Céline Sciamma,"Noémie Merlant,Adèle Haenel,Luàna Bajrami",2h 2min,2:16,Drama,8.1 / 10,https://www.imdb.com/title/tt8613070/
The Treasure of the Sierra Madre ,1948,John Huston,"Humphrey Bogart,Walter Huston,Tim Holt",2h 6min,2:41,Adventure,8.2 / 10,https://www.imdb.com/title/tt0040897/
The Handmaiden ,2016,Chan-wook Park,"Min-hee Kim,Jung-woo Ha,Jin-woong Cho",2h 25min,1:08,Drama,8.1 / 10,https://www.imdb.com/title/tt4016934/
